Factor	ASV	edge	sig	core_group	Category	Correlation
pH	faf9b0b04ab09c87a8bee1805db97939	-0.34284054	7.36E-05	Burkholderiales	Soil_properties	Negative
pH	aae8eb63402e9d7e63bd3c0732e92ddf	-0.341348819	8.45E-05	Sphingomonadales	Soil_properties	Negative
Dewpoint_avg_Week2	4e48f50c35560510b37f450e251b2de9	-0.34040566	9.22E-05	Caulobacterales	Climatic_conditions	Negative
Temp_high_Week4	f01c586267b9810d2295f0df5e54c366	-0.340239721	9.35E-05	Pleosporales	Climatic_conditions	Negative
pH	3651972045124590a0b441270cf5082d	-0.339684589	9.82E-05	Chaetothyriales	Soil_properties	Negative
Temp_high_Week3	aae8eb63402e9d7e63bd3c0732e92ddf	-0.334141504	0.000163816	Sphingomonadales	Climatic_conditions	Negative
Humidity_avg_Week1	a96078b17eb82a36a9f89d8b4c0441b4	-0.333187652	0.000178331	Pleosporales	Climatic_conditions	Negative
Humidity_low_Week1	a96078b17eb82a36a9f89d8b4c0441b4	-0.328547613	0.000269766	Pleosporales	Climatic_conditions	Negative
pH	e2d1cf1d2f486e55d7342e1ec67f7fb8	-0.327200519	0.00030108	Chaetothyriales	Soil_properties	Negative
Pressure_low_Week1	4d97b50e59816436d2b097d387d17d01	-0.326914155	0.000308447	Pleosporales	Climatic_conditions	Negative
Dewpoint_avg_Week3	56b17ee22867f28d69ceed6536bce3f4	-0.3268383	0.000310014	Hypocreales	Climatic_conditions	Negative
Dewpoint_low_Week2	c0d80519b1e34920abdaa60fcbec924e	-0.326046424	0.00033186	Rhizobiales	Climatic_conditions	Negative
pH	2dc4006fec89337e676bbd957a811959	-0.324499803	0.000378793	Pleosporales	Soil_properties	Negative
Temp_high_Week3	981558e02737fd9dc5314d8396b8e849	-0.323969689	0.000395148	Sphingomonadales	Climatic_conditions	Negative
Windgust_Week2	56b17ee22867f28d69ceed6536bce3f4	-0.323415826	0.000414528	Hypocreales	Climatic_conditions	Negative
pH	c26cf275f4c8b742605f33418b4c7652	-0.32222492	0.000454537	Burkholderiales	Soil_properties	Negative
Carbon_nitrogen_ratio	e4d0eb3a3d0beb761357ecd0e3ca7a6b	-0.321824084	0.000467068	Sphingomonadales	Soil_properties	Negative
Wind_high_Week3	52ab7d4f5ffd1fa9133fa56d849126cf	-0.321342958	0.000484972	Sphingomonadales	Climatic_conditions	Negative
Windgust_Week3	3ce04642f596099e844e50e717b39621	-0.320462885	0.000519885	Propionibacteriales	Climatic_conditions	Negative
Humidity_avg_Week3	352d386293a59777de3e3e6a91f58466	-0.32012985	0.00053362	Hypocreales	Climatic_conditions	Negative
Pressure_high_Week1	4d97b50e59816436d2b097d387d17d01	-0.319813841	0.000547813	Pleosporales	Climatic_conditions	Negative
Humidity_low_Week3	4fb4e90d7d47e173834067ff3cfeec25	-0.319304676	0.000571067	Burkholderiales	Climatic_conditions	Negative
Pressure_low_Week3	4d97b50e59816436d2b097d387d17d01	-0.318526569	0.000607473	Pleosporales	Climatic_conditions	Negative
Humidity_low_Week3	c1985277541afab3677fe880774f0979	-0.318475486	0.000609182	Propionibacteriales	Climatic_conditions	Negative
Wind_high_Week2	352d386293a59777de3e3e6a91f58466	-0.317285053	0.000672896	Hypocreales	Climatic_conditions	Negative
Pressure_high_Week2	56b17ee22867f28d69ceed6536bce3f4	-0.314909543	0.000823681	Hypocreales	Climatic_conditions	Negative
Dewpoint_low_Week2	aae8eb63402e9d7e63bd3c0732e92ddf	-0.314102585	0.000881917	Sphingomonadales	Climatic_conditions	Negative
Wind_high_Week2	2688dc5d4637c83ea1581928758cd52a	-0.313593951	0.00091098	Burkholderiales	Climatic_conditions	Negative
Manganese	2daa1492393523f7253ea8f907bfa0a0	-0.312477909	0.000991861	Sphingomonadales	Soil_properties	Negative
pH	981558e02737fd9dc5314d8396b8e849	-0.312349433	0.000999166	Sphingomonadales	Soil_properties	Negative
Temp_low_Week3	c26cf275f4c8b742605f33418b4c7652	-0.312025029	0.001024343	Burkholderiales	Climatic_conditions	Negative
pH	6fbea5af4fa72bdd8b4ebe6eca6abe4b	-0.312005311	0.001024426	Sphingomonadales	Soil_properties	Negative
Dewpoint_low_Week2	0e14b541516926a73cf9a0d757511637	-0.310606593	0.001138379	Pleosporales	Climatic_conditions	Negative
PCoA3_plant_communities	2418c4c0e1b5b0c5f778dd4b2c1492d7	-0.310164802	0.001178414	Burkholderiales	Plant_diversity	Negative
Calcium	fbeeb19f04d65022573c52ecdc07f9e3	-0.309209693	0.001272271	Rhizobiales	Soil_properties	Negative
Pressure_high_Week3	4d97b50e59816436d2b097d387d17d01	-0.308578037	0.001331905	Pleosporales	Climatic_conditions	Negative
pH	44df5a1eca2057b4ca5f07dd6b70fe89	-0.307933406	0.00140231	Propionibacteriales	Soil_properties	Negative
Humidity_avg_Week1	a1f29e85ff4a7ca41ca993afc52743bf	-0.307671233	0.001429305	Burkholderiales	Climatic_conditions	Negative
Shannon_diversity_plant_communities	f4fcf60b036c82daaf60f7c90773d6c3	-0.307407564	0.001456988	Sphingomonadales	Plant_diversity	Negative
Temp_high_Week3	3ab273eba08d3eb13919f47fb73d7429	-0.307289159	0.001466915	Rhizobiales	Climatic_conditions	Negative
Humidity_low_Week1	a1f29e85ff4a7ca41ca993afc52743bf	-0.306921174	0.001506377	Burkholderiales	Climatic_conditions	Negative
Calcium	caa87147e44034b05364d29010622d3b	-0.306623178	0.001542321	Helotiales	Soil_properties	Negative
Windgust_Week2	2688dc5d4637c83ea1581928758cd52a	-0.306219484	0.001590749	Burkholderiales	Climatic_conditions	Negative
Magnesium	729d712396a350bed7a18002a7114b23	-0.30554831	0.00167533	Helotiales	Soil_properties	Negative
pH	e663dd4e60347d772b95be372c2047fa	-0.305490137	0.001680965	Rhizobiales	Soil_properties	Negative
Phosphore	f6cf9c087ee9ef87980d30c93030df42	-0.305393761	0.001692033	Sphingomonadales	Soil_properties	Negative
Dewpoint_avg_Week1	3349f0b50c0cc58aa86de7ced77a9acf	-0.305276801	0.001706115	Xylariales	Climatic_conditions	Negative
Wind_high_Week2	343dbf855afaac8caca3bcc4cc2b4e2f	-0.3049859	0.001732945	Burkholderiales	Climatic_conditions	Negative
Temp_high_Week1	3349f0b50c0cc58aa86de7ced77a9acf	-0.30486232	0.001737387	Xylariales	Climatic_conditions	Negative
Dewpoint_avg_Week2	c0d80519b1e34920abdaa60fcbec924e	-0.304638138	0.001767642	Rhizobiales	Climatic_conditions	Negative
Humidity_avg_Week1	f7a6fcd66ada3722a49f06111f8c5790	-0.303717642	0.001900343	Burkholderiales	Climatic_conditions	Negative
Aluminium	c32c6f1122b5a3c796e3624d43b4d75c	-0.303531846	0.001927129	Caulobacterales	Soil_properties	Negative
Humidity_avg_Week2	378de1bfee81a2431ed1181316abc9e7	-0.302357929	0.002095849	Burkholderiales	Climatic_conditions	Negative
Temp_avg_Week2	f01c586267b9810d2295f0df5e54c366	-0.302090628	0.002128069	Pleosporales	Climatic_conditions	Negative
Temp_low_Week2	b476e0463e33c72532fee1fb7748c2ae	-0.301406865	0.002245409	Sphingomonadales	Climatic_conditions	Negative
Temp_low_Week2	3ab273eba08d3eb13919f47fb73d7429	-0.300894166	0.002339098	Rhizobiales	Climatic_conditions	Negative
Humidity_high_Week1	4fb4e90d7d47e173834067ff3cfeec25	-0.300422265	0.002428335	Burkholderiales	Climatic_conditions	Negative
pH	caa87147e44034b05364d29010622d3b	-0.299652025	0.002572224	Helotiales	Soil_properties	Negative
PCoA2_plant_communities	eb621b133fcc0b0829e68efdcc9538f7	-0.299363126	0.002626386	Solirubrobacterales	Plant_diversity	Negative
Temp_low_Week1	e255a7cac19c3236b25e183868983627	-0.298783253	0.002734586	Hypocreales	Climatic_conditions	Negative
Windgust_Week4	3ce04642f596099e844e50e717b39621	-0.298366283	0.002821405	Propionibacteriales	Climatic_conditions	Negative
Potassium	729d712396a350bed7a18002a7114b23	-0.29816363	0.002860384	Helotiales	Soil_properties	Negative
pH	eb621b133fcc0b0829e68efdcc9538f7	-0.297673361	0.002964516	Solirubrobacterales	Soil_properties	Negative
Temp_low_Week3	981558e02737fd9dc5314d8396b8e849	-0.297423097	0.00301902	Sphingomonadales	Climatic_conditions	Negative
Temp_low_Week2	bc8887e3a15f74925ef4eb3f8456d371	-0.297415179	0.00301902	Pleosporales	Climatic_conditions	Negative
Manganese	5359a493f13c37cc34ab493ee6806643	-0.29706474	0.003101978	Burkholderiales	Soil_properties	Negative
Manganese	e8457b9a0302a3045b3495a34051ffff	-0.296975399	0.003120216	Caulobacterales	Soil_properties	Negative
Humidity_avg_Week1	352d386293a59777de3e3e6a91f58466	-0.296564165	0.003212698	Hypocreales	Climatic_conditions	Negative
Humidity_low_Week4	687d21e3c157c639ce64426cef257f25	-0.296311329	0.003268962	Rhizobiales	Climatic_conditions	Negative
pH	d9861545e3713fb41c6e66a8eacfd3b4	-0.296298698	0.003268962	Microtrichales	Soil_properties	Negative
Humidity_avg_Week2	f920c3503284689300f54fbc9d9f4abc	-0.296189589	0.00329343	Rhizobiales	Climatic_conditions	Negative
Temp_avg_Week2	76fb433ca3a8688d4727c7c1b1a1c24a	-0.296084728	0.003316934	Burkholderiales	Climatic_conditions	Negative
Pressure_low_Week4	4d97b50e59816436d2b097d387d17d01	-0.295207402	0.0035315	Pleosporales	Climatic_conditions	Negative
Dewpoint_avg_Week2	378de1bfee81a2431ed1181316abc9e7	-0.295023898	0.003574383	Burkholderiales	Climatic_conditions	Negative
Dewpoint_avg_Week1	990b3f232755eb5878ac961d5a8b5b25	-0.294916535	0.003600546	Chaetothyriales	Climatic_conditions	Negative
Aluminium	568695d6f90de3e5829e9c54c836cd4d	-0.294793353	0.003631523	Sphingomonadales	Soil_properties	Negative
Pressure_low_Week2	56b17ee22867f28d69ceed6536bce3f4	-0.294655496	0.003662099	Hypocreales	Climatic_conditions	Negative
Dewpoint_avg_Week3	3651972045124590a0b441270cf5082d	-0.293921432	0.003879612	Chaetothyriales	Climatic_conditions	Negative
Calcium	5108a6ca84035b8f5ddfefbe336a58b0	-0.293806541	0.003910268	Rhizobiales	Soil_properties	Negative
Phosphore	d2a539d52c171cfd85c764e2873c191e	-0.291032048	0.004786481	Sphingomonadales	Soil_properties	Negative
Temp_low_Week4	f01c586267b9810d2295f0df5e54c366	-0.291023369	0.004786481	Pleosporales	Climatic_conditions	Negative
Temp_avg_Week1	c0d80519b1e34920abdaa60fcbec924e	-0.290969719	0.004800546	Rhizobiales	Climatic_conditions	Negative
Humidity_high_Week4	e8457b9a0302a3045b3495a34051ffff	-0.290783359	0.004833613	Caulobacterales	Climatic_conditions	Negative
Humidity_high_Week4	095779591bc0f8804c8b9df75272a503	-0.29058781	0.004893582	Helotiales	Climatic_conditions	Negative
Temp_high_Week3	1d3577ceb4f98bde7340e9484ed39097	-0.290578286	0.004893582	Helotiales	Climatic_conditions	Negative
Dewpoint_avg_Week2	f920c3503284689300f54fbc9d9f4abc	-0.290250091	0.005005342	Rhizobiales	Climatic_conditions	Negative
Temp_low_Week1	eb621b133fcc0b0829e68efdcc9538f7	-0.289941064	0.005100156	Solirubrobacterales	Climatic_conditions	Negative
Dewpoint_high_Week2	551cadc6f95e783da898b01d8c1078b2	-0.289419515	0.005260134	Pleosporales	Climatic_conditions	Negative
Temp_high_Week4	990b3f232755eb5878ac961d5a8b5b25	-0.288782826	0.005503258	Chaetothyriales	Climatic_conditions	Negative
Dewpoint_low_Week2	b476e0463e33c72532fee1fb7748c2ae	-0.288740645	0.005514012	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_high_Week4	f01c586267b9810d2295f0df5e54c366	-0.28860622	0.005565583	Pleosporales	Climatic_conditions	Negative
Precipitation_Week1	56b17ee22867f28d69ceed6536bce3f4	-0.288420959	0.005618632	Hypocreales	Climatic_conditions	Negative
Precipitation_Week2	56b17ee22867f28d69ceed6536bce3f4	-0.288420959	0.005618632	Hypocreales	Climatic_conditions	Negative
Precipitation_Week3	56b17ee22867f28d69ceed6536bce3f4	-0.288420959	0.005618632	Hypocreales	Climatic_conditions	Negative
Precipitation_Week4	56b17ee22867f28d69ceed6536bce3f4	-0.288420959	0.005618632	Hypocreales	Climatic_conditions	Negative
Temp_high_Week3	85fe2bf59538ebeb73dd821f30e4fa78	-0.287827651	0.00586109	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_avg_Week2	aae8eb63402e9d7e63bd3c0732e92ddf	-0.287818913	0.00586109	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_high_Week4	bc8887e3a15f74925ef4eb3f8456d371	-0.287556814	0.005975319	Pleosporales	Climatic_conditions	Negative
pH	71f65512f8a6ba7f550d321f084b34a7	-0.287486197	0.005995786	Rhizobiales	Soil_properties	Negative
Dewpoint_low_Week3	a96078b17eb82a36a9f89d8b4c0441b4	-0.287336395	0.006056522	Pleosporales	Climatic_conditions	Negative
Humidity_avg_Week3	c1985277541afab3677fe880774f0979	-0.287202702	0.006112599	Propionibacteriales	Climatic_conditions	Negative
pH	93f3f713fe20c49c5a049ea273f3e1f9	-0.286955668	0.006224138	Burkholderiales	Soil_properties	Negative
pH	fbeeb19f04d65022573c52ecdc07f9e3	-0.286761261	0.006311584	Rhizobiales	Soil_properties	Negative
pH	f6cf9c087ee9ef87980d30c93030df42	-0.286491553	0.006429909	Sphingomonadales	Soil_properties	Negative
Windgust_Week2	f7a6fcd66ada3722a49f06111f8c5790	-0.286456226	0.006431595	Burkholderiales	Climatic_conditions	Negative
pH	f406093c66967d7dbb69ae0055648006	-0.28643805	0.006432709	Chaetothyriales	Soil_properties	Negative
Temp_low_Week3	aae8eb63402e9d7e63bd3c0732e92ddf	-0.286386808	0.006450466	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_avg_Week2	b34697ef699de28e78ca18fd81c019aa	-0.286231079	0.006513148	Propionibacteriales	Climatic_conditions	Negative
Aluminium	ab99db73bcffa6c8c0bc7aade29e26c6	-0.28587824	0.00667826	Hypocreales	Soil_properties	Negative
Dewpoint_low_Week1	c0d80519b1e34920abdaa60fcbec924e	-0.28550997	0.006838687	Rhizobiales	Climatic_conditions	Negative
Temp_avg_Week2	3ab273eba08d3eb13919f47fb73d7429	-0.285131198	0.007017171	Rhizobiales	Climatic_conditions	Negative
Dewpoint_high_Week2	b476e0463e33c72532fee1fb7748c2ae	-0.285107166	0.00702167	Sphingomonadales	Climatic_conditions	Negative
Temp_low_Week3	3ab273eba08d3eb13919f47fb73d7429	-0.284795588	0.007176029	Rhizobiales	Climatic_conditions	Negative
pH	c6dc49745bba62a9b055770f81e19f43	-0.284676969	0.007223663	Burkholderiales	Soil_properties	Negative
Dewpoint_low_Week1	990b3f232755eb5878ac961d5a8b5b25	-0.284420879	0.007223663	Chaetothyriales	Climatic_conditions	Negative
Calcium	71959105146ae8853e87ec99a1faf201	-0.284222074	0.007223663	Sphingomonadales	Soil_properties	Negative
Dewpoint_low_Week4	b476e0463e33c72532fee1fb7748c2ae	-0.284178416	0.007223663	Sphingomonadales	Climatic_conditions	Negative
Humidity_high_Week3	5359a493f13c37cc34ab493ee6806643	-0.283939542	0.007223663	Burkholderiales	Climatic_conditions	Negative
Carbon_nitrogen_ratio	85fe2bf59538ebeb73dd821f30e4fa78	-0.283800763	0.007223663	Sphingomonadales	Soil_properties	Negative
Temp_high_Week3	fbeeb19f04d65022573c52ecdc07f9e3	-0.283707409	0.007223663	Rhizobiales	Climatic_conditions	Negative
Dewpoint_low_Week2	4e48f50c35560510b37f450e251b2de9	-0.28320519	0.007223663	Caulobacterales	Climatic_conditions	Negative
Dewpoint_avg_Week2	966b2cd59ebf0ff733c0011885d94f38	-0.283043262	0.007298533	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_high_Week1	2800eac07c1b68a94017ea7c82307ca0	-0.283014966	0.007306535	Hypocreales	Climatic_conditions	Negative
Humidity_avg_Week3	a96078b17eb82a36a9f89d8b4c0441b4	-0.282428781	0.00761902	Pleosporales	Climatic_conditions	Negative
Dewpoint_high_Week4	b476e0463e33c72532fee1fb7748c2ae	-0.282370686	0.007644865	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_low_Week3	5fa18956f4568992101c9ca7bea0ab57	-0.282346901	0.007650595	Pleosporales	Climatic_conditions	Negative
Temp_avg_Week2	993a11db71484f6d7d6c4ce9d957401e	-0.282145002	0.007745151	Chaetothyriales	Climatic_conditions	Negative
Plant_cover	374db8cfcad7fe2d95e4402cbc5bdfa2	-0.281701081	0.007962205	Chaetothyriales	Plant_diversity	Negative
pH	d2a539d52c171cfd85c764e2873c191e	-0.281547856	0.008047684	Sphingomonadales	Soil_properties	Negative
Temp_low_Week1	96a7cc71a8d5b114f375f2bd809e8853	-0.281347645	0.008154662	Pleosporales	Climatic_conditions	Negative
Dewpoint_low_Week2	3ab273eba08d3eb13919f47fb73d7429	-0.280751026	0.008490214	Rhizobiales	Climatic_conditions	Negative
Humidity_low_Week4	e8457b9a0302a3045b3495a34051ffff	-0.280303868	0.008757558	Caulobacterales	Climatic_conditions	Negative
Temp_high_Week4	715a5d3872fd3c05667063cb35a8ab88	-0.280303319	0.008757558	Chaetothyriales	Climatic_conditions	Negative
Dewpoint_high_Week1	c0d80519b1e34920abdaa60fcbec924e	-0.280263494	0.008772731	Rhizobiales	Climatic_conditions	Negative
Windgust_Week1	3ce04642f596099e844e50e717b39621	-0.279422157	0.009238448	Propionibacteriales	Climatic_conditions	Negative
Shannon_diversity_plant_communities	2b7221902e53ea9ac292f56122f39405	-0.27925202	0.009348918	Sphingomonadales	Plant_diversity	Negative
Windgust_Week2	343dbf855afaac8caca3bcc4cc2b4e2f	-0.27882643	0.009615802	Burkholderiales	Climatic_conditions	Negative
Dewpoint_low_Week3	a1f29e85ff4a7ca41ca993afc52743bf	-0.278145689	0.010093171	Burkholderiales	Climatic_conditions	Negative
Calcium	fe0a2323cd3406c824a855a11fa0729a	-0.277481381	0.010462209	Sphingomonadales	Soil_properties	Negative
Dewpoint_low_Week1	993a11db71484f6d7d6c4ce9d957401e	-0.277408287	0.010462209	Chaetothyriales	Climatic_conditions	Negative
Temp_low_Week1	3798f2050fa51b2dbba5af582cdbdd43	-0.277304337	0.010462209	Chaetothyriales	Climatic_conditions	Negative
Windgust_Week3	52ab7d4f5ffd1fa9133fa56d849126cf	-0.277156328	0.010462209	Sphingomonadales	Climatic_conditions	Negative
Dewpoint_avg_Week3	a1f29e85ff4a7ca41ca993afc52743bf	-0.276947354	0.010462209	Burkholderiales	Climatic_conditions	Negative
Temp_high_Week3	76fb433ca3a8688d4727c7c1b1a1c24a	-0.276465279	0.010462209	Burkholderiales	Climatic_conditions	Negative
Wind_high_Week2	184a28d8ee3118f0e6043afdb83eb3ef	-0.275066964	0.011287633	Pleosporales	Climatic_conditions	Negative
Humidity_avg_Week1	343dbf855afaac8caca3bcc4cc2b4e2f	-0.274972278	0.011357363	Burkholderiales	Climatic_conditions	Negative
Humidity_low_Week3	352d386293a59777de3e3e6a91f58466	-0.274901314	0.011396851	Hypocreales	Climatic_conditions	Negative
Calcium	afa0ac2fddccf4a3ac6808b6155260e6	-0.27477228	0.011468939	Chaetothyriales	Soil_properties	Negative
Temp_low_Week2	aae8eb63402e9d7e63bd3c0732e92ddf	-0.274731429	0.011468939	Sphingomonadales	Climatic_conditions	Negative
Pressure_high_Week4	4d97b50e59816436d2b097d387d17d01	-0.274585897	0.011583633	Pleosporales	Climatic_conditions	Negative
Dewpoint_avg_Week4	b476e0463e33c72532fee1fb7748c2ae	-0.274549091	0.011604945	Sphingomonadales	Climatic_conditions	Negative
Temp_avg_Week4	b476e0463e33c72532fee1fb7748c2ae	-0.274041496	0.012030428	Sphingomonadales	Climatic_conditions	Negative
Temp_avg_Week1	981558e02737fd9dc5314d8396b8e849	-0.273750441	0.012271537	Sphingomonadales	Climatic_conditions	Negative
Humidity_high_Week2	764657cb35fb7244a443c159eccb13d2	-0.273672273	0.012331912	Sphingomonadales	Climatic_conditions	Negative
Wind_high_Week3	3ce04642f596099e844e50e717b39621	-0.273551697	0.01242048	Propionibacteriales	Climatic_conditions	Negative
Temp_low_Week3	1d3577ceb4f98bde7340e9484ed39097	-0.273287889	0.012643393	Helotiales	Climatic_conditions	Negative
Temp_high_Week3	5ac7662a9cff8faf69896230b80530df	-0.273082874	0.012825619	Rhizobiales	Climatic_conditions	Negative
Dewpoint_low_Week1	e255a7cac19c3236b25e183868983627	-0.273011237	0.012882348	Hypocreales	Climatic_conditions	Negative
Dewpoint_low_Week2	ebbacbda98427ba94a3219022c67eb6c	-0.27294872	0.012925977	Chaetothyriales	Climatic_conditions	Negative
Humidity_avg_Week2	9e6131b1048cbd963bc80f6c64727f31	-0.272856172	0.012973018	Burkholderiales	Climatic_conditions	Negative
Humidity_avg_Week1	61ba432bab20f14356ce414adb87ab01	-0.272725711	0.013060926	Burkholderiales	Climatic_conditions	Negative
pH	c42f60ef3f5e484a1cd802f243282071	-0.272691136	0.013074144	Pleosporales	Soil_properties	Negative
Windgust_Week2	184a28d8ee3118f0e6043afdb83eb3ef	-0.272427238	0.013308298	Pleosporales	Climatic_conditions	Negative
Plant_cover	19f4720cd62c3499531a87402ecbce67	-0.272272636	0.013449358	Chaetothyriales	Plant_diversity	Negative
Humidity_low_Week1	352d386293a59777de3e3e6a91f58466	-0.272252344	0.013457605	Hypocreales	Climatic_conditions	Negative
Dewpoint_high_Week2	bc8887e3a15f74925ef4eb3f8456d371	-0.272005608	0.013644679	Pleosporales	Climatic_conditions	Negative
Aluminium	80b5811d1e3410edb41428053b059dee	-0.271865343	0.013774538	Burkholderiales	Soil_properties	Negative
Windgust_Week2	1e66d98a0dd0b8a765071507f5d576a5	-0.27183473	0.013793527	Burkholderiales	Climatic_conditions	Negative
Dewpoint_low_Week4	f78ba5c82c54c4d3776dda17c1dd091a	-0.271721723	0.013896762	Sphingomonadales	Climatic_conditions	Negative
pH	2800eac07c1b68a94017ea7c82307ca0	-0.271193163	0.014389209	Hypocreales	Soil_properties	Negative
Temp_avg_Week2	eb621b133fcc0b0829e68efdcc9538f7	-0.271189506	0.014389209	Solirubrobacterales	Climatic_conditions	Negative
Dewpoint_avg_Week1	993a11db71484f6d7d6c4ce9d957401e	-0.270946011	0.014610879	Chaetothyriales	Climatic_conditions	Negative
Temp_avg_Week2	7757c98238a86fec762df196223423ad	-0.270869876	0.014680063	Chaetothyriales	Climatic_conditions	Negative
pH	2868504426c363f524c327b0e56970f2	-0.27085555	0.014682707	Sphingomonadales	Soil_properties	Negative
Dewpoint_low_Week2	fe0a2323cd3406c824a855a11fa0729a	-0.270822142	0.014705974	Sphingomonadales	Climatic_conditions	Negative
Temp_low_Week1	3349f0b50c0cc58aa86de7ced77a9acf	-0.270643668	0.014878747	Xylariales	Climatic_conditions	Negative
Temp_low_Week1	f920c3503284689300f54fbc9d9f4abc	-0.270639456	0.014878747	Rhizobiales	Climatic_conditions	Negative
Humidity_low_Week2	378de1bfee81a2431ed1181316abc9e7	-0.270505331	0.01499989	Burkholderiales	Climatic_conditions	Negative
Temp_low_Week2	993a11db71484f6d7d6c4ce9d957401e	-0.270458719	0.015038232	Chaetothyriales	Climatic_conditions	Negative
Temp_low_Week1	4e48f50c35560510b37f450e251b2de9	-0.270374062	0.015105717	Caulobacterales	Climatic_conditions	Negative
Dewpoint_low_Week2	bc8887e3a15f74925ef4eb3f8456d371	-0.270336739	0.01513402	Pleosporales	Climatic_conditions	Negative
Dewpoint_low_Week2	96a7cc71a8d5b114f375f2bd809e8853	-0.270287814	0.015175289	Pleosporales	Climatic_conditions	Negative
Temp_high_Week3	c26cf275f4c8b742605f33418b4c7652	-0.270224773	0.015232431	Burkholderiales	Climatic_conditions	Negative
Temp_avg_Week2	b476e0463e33c72532fee1fb7748c2ae	-0.270066313	0.015397086	Sphingomonadales	Climatic_conditions	Negative
Temp_high_Week4	3651972045124590a0b441270cf5082d	-0.269937832	0.015475875	Chaetothyriales	Climatic_conditions	Negative
Temp_high_Week1	eb621b133fcc0b0829e68efdcc9538f7	-0.269838869	0.015575041	Solirubrobacterales	Climatic_conditions	Negative
pH	3f55c6bdf06b041ae59ff960c14ae0a1	-0.269487594	0.015939429	Propionibacteriales	Soil_properties	Negative
Windgust_Week3	f7a6fcd66ada3722a49f06111f8c5790	-0.269471572	0.015944448	Burkholderiales	Climatic_conditions	Negative
Dewpoint_avg_Week2	869c8ca182cb343921aa4df7a0d03068	-0.269129481	0.016297698	Sphingomonadales	Climatic_conditions	Negative
Wind_high_Week4	4a742985ba44e09c75723c2eb95632a6	-0.269124919	0.016297698	Chaetothyriales	Climatic_conditions	Negative
Dewpoint_high_Week2	3349f0b50c0cc58aa86de7ced77a9acf	-0.269114602	0.016297698	Xylariales	Climatic_conditions	Negative
Humidity_avg_Week3	4fb4e90d7d47e173834067ff3cfeec25	-0.269113147	0.016297698	Burkholderiales	Climatic_conditions	Negative
Phosphore	eb621b133fcc0b0829e68efdcc9538f7	-0.268816403	0.016611512	Solirubrobacterales	Soil_properties	Negative
Dewpoint_high_Week4	ee19fa63001f04fc910f12ba5a03388b	-0.26880079	0.016611512	Hypocreales	Climatic_conditions	Negative
